article_id,content_lead,lead_source,note
1cc4d8ab64003d5a05ee99abe7dd399f,,,no candidate matched title+date
1df3aa28774282e69347346f99640e0a,,,no candidate matched title+date
CBMinwFBVV95cUxPbmVvVWRaNTR4NnVNSEZkSlZfbzFIM2paZWtONU1qRW9CVzFxMkUtUEpQbUwxMlNfTTFTZmdmLW1YZUdPVkFWSzVTOXMwTGVOdmd3bDNYTEJaeF9IM1FKc1R4dU4xMGk2ZlBGMFc2RzdyVFVyWFQxc2Qxak1jVi1KNS0wU3Q1Q0lfeER4Zk1GNTY4UV9wV3AwcUZFVy1wU2M,,,no candidate matched title+date
85f0747df95683f9ce8bd931f9f912d0,,,no candidate matched title+date
28994565ff8a9382445171ca38904e93,,,no candidate matched title+date
dd6a4fa535e6991de496ea7451e28e10,,,no candidate matched title+date
aaccc2d247a76affc2e7e9277ba2e3dc,,,direct fetch failed
0cc331a8286bf1abac5803372b680a43,,,direct fetch failed
95304016adb3d5bd2c6cf8ddadb188b7,"The entire Batangas declared a state of calamity on Monday after Taal Volcano coated the province and nearby areas with ash, forced the cancellation of classes and sent thousands to evacuation centers, an official said Monday.",publisher_url,
6f8956950d5b8b4ac1bb568738316910,"MANILA, Philippines — Some P577.39 million worth of crops and livestock have already been ravaged by the phreatic eruption or steam-driven episode of",publisher_url,
01bfd81cc4b4a6aad0818fac773dd78f,"MANILA, Philippines — The Department of Agriculture (DA) said Wednesday that its Agricultural Credit Policy Council was currently distributing loan",publisher_url,
1207adf1b01a60830c12d3873520c013,"FOOD PRICES, particularly of chicken and pork, may spike if the unrest at Taal Volcano in Batangas continues, as the Calabarzon Region is considered as a major source of livestock in the country, according to an economist.",publisher_url,
545c880173e95edb241b92ba5978dbb5,"Aboitiz Foundation, the corporate social responsibility arm of the Aboitiz Group, together with several Aboitiz business units (BUs) in South Luzon, recently mobilized much-needed aid to",publisher_url,
878b196d4002810a0a208e5597f55b68,,,direct fetch failed
f0ff35afb3e2b1dc99e0a544b337b9a6,,,direct fetch failed
61d6ff5f177e221140fad39fba92c855,"The cost of crops and livestock lost in the eruption of Taal Volcano has jumped six-fold to P3.06 billion, the Department of Agriculture said Friday, as various groups sought to bring relief to survivors.",publisher_url,
7ae19fc67f7e750deb144e157169093d,"DAMAGE from the eruption of Taal Volcano has reached P3 billion, with the fishery sector suffering the most devastation, the Agriculture department said on Friday.",publisher_url,
8813c8a4458a25a9e75041896ca4751f,,,direct fetch failed
4b6a7d945a5e1a2571e6e61d783bdfb0,,,direct fetch failed
c06807ab19dcc4985c65ae11b8f4e206,Forced evacuations are carried out in the Philippine province of Batangas as super typhoon Leon passes by the eastern waters of the Luzon region.,publisher_url,
084acbd63768ec34e8b9bb7549217d3d,,,direct fetch failed
2c958e487636184e45b4c2812775badc,,,direct fetch failed
b40f4801910058874ccb68c69ee0f689,,,direct fetch failed
b92366e203a34d1514b354db14e0512a,,,direct fetch failed
934232c1febd50be22f39eb628d015c2,,,direct fetch failed
34c6fb8e8a76a4415e60e501662b440e,"PRESIDENT Ferdinand R. Marcos, Jr. on Wednesday expanded his government’s subsidized P20-per-kilogram rice program to public markets in Cavite province, the presidential palace said. “Now, the rice rollout will begin in public markets so that more of our countrymen can benefit from it,” Palace Press Officer Clarissa A. Castro told a news briefing. The President […]",publisher_url,
43e805d86f415760bf13358680eb8d4c,,,direct fetch failed
e7cd5ceacc0b4ac95724be6e9c28c015,,,direct fetch failed
1335e912d2a612c80edaf101e3be605a,,,direct fetch failed
