row,article_id,title,publication_date,province,news_source,url,stage,drop_reason
6,7d48221341146c64c788ac0809c81428,"WATCH: Residents of Magapi in Balete, Batangas use a temporary bridge made of bamboo and scrap wood to reach their village on October 28,2024, after the concrete bridge collapsed due to the flood at the height of severe tropical storm Kristine's onslaugh","Sun, 27 Oc",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxPR2xjRUpvMFlNLTZmb2k4STBOeWkxOFhaSzBjdXZBZjc4bjdEV0JrOXBrSmN5NFJjaWFNNEJqZjlyN2pySHRkSlFyMGM3SkdHTGx4VnFLUFpiOTU4RHhTdGR5aDZqbzY3bTBQTGRER1hfMFlIbmozcDEwdWhkZ1FuUHoza3hmNnRkbUhRaDd0VVFZUXA0T1Z4Vkt3d1h1Q0RqejZLbnZ3V1NwRGo5Zk5EakxHcmkzMWtjRkI4dXlxdzktZ1NHNUhMV2RBOFppNDN2TkhZWjNkUQ?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
18,fed61e58066c3ddb22fe8c4711ffca21,"A REAL-LIFE ‘DARNA’ LOOK: Actress Angel Locsin distributed relief goods to the affected families of the Taal volcano eruption in Calaca, Batangas on Friday. (Photos courtesy of Đom Ļasheras Violante)","Fri, 17 Ja",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPbEtKcDFsTUE1TDlGdW9oWGNPYlZoRmJmNGp6ZUswMDR4d0NCZW5DekZVbXRsbEZDaGFMUElzUzJjOVZTSXlibkhzWnBPM0VMejZSeGJJZU1reVNWZ25EbFM0R0Z4U3RVeERwN0dmcXVIR0owbldOcWpUXzFfbDBia1h4Y0tiS29OZ3U3LXVnS0dBbjBIcW10SW9vdjA4RGUwVmQtajVMdzRCMGw2enF2OTMzWnNZSEYtSzBOZ2tMYi1SX0xRdlpaRnotSmNNZjB1RGVOQ2JZVU13bjVv?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
29,0fa56baa78cc28be50f743214483e72b,"Fishermen feed tilapia and bangus in commercial cages in Taal Lake, Laurel, Batangas on Saturday, as vendors in Talisay report up to 50 percent loss in income following rumors that missing sabungeros were dumped in the lake. Fisherfolk and vendors urge","Fri, 11 Jul 2025",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi3gFBVV95cUxPMGxkbkQ0VjlpMElWdDNYUkZTc1dsQVpQVDg0RDF4LUxKcjByVlNIa25teDlNUGswSEZkSHNNMnpJQ1E3OU8wUGZGZzFJYzViWTZ1MWZFNXRjSmNtWkdieWlzTTBOcFFjalllajh0NHRHY1BxMldNSUdpOWI3NUxvMzdQS1FNMTVFeGo1MU1GSnl0dm5uZXFZWGZQX3UxaXZBMC0xTnVac05qRVBzb1JXY0xoazRTX0VJSW94VXUzY1l1dG9sZUhzaVB4WnNxbzRYQzg5c2trdUozc2xoZEE?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
33,8e6144810a6164801d9525ad3c639842,"The Bugaan Bridge in Laurel, Batangas, is seen in ruins days on Tuesday, almost a week after Typhoon #KristinePH struck the province. (Photos by Michael Varcas/The Philippine STAR)","Tue, 29 Oct 2024",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi2wFBVV95cUxNem9KOWVWZDdGeGVLMmUzWjlEMFpHWUdySkNIS1ZPTEctb1VLN1JReUFHSkNCUWF6c0VaQi1TOGhXOGZZOTBoVzY2UDdqYTdkS1A0LURoSVE0QkpkTVB1VmNIZkE2S2pNNDc4bkU3UGR5eTNsN1ZqdHZYWFMxSmhRcExPODc3MjdTUnFuX015d3VYNXlKSEVkMHFLVlRyNHZMeWhhVFZUOUFpODdwMm5IMUR0cWdraFUzbEZfakQwaHJOT2NBUGl0TGpadjRiYXR1SFVDbFJPXzNRbk0?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
46,4ceb2cf807a286d53c7809c7c3013413,"UPDATE: Three people have been confirmed dead in Batangas due to the heavy rains brought by the southwest monsoon, or Habagat. Batangas PDRRMO chief Fe Fernandez said one person was electrocuted in Lipa City, another drowned in San Jose Sico,","Sat, 08 Aug 2026",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNWEVPeXJPbWFtUTZDYWlLUVNxdS1GbWRwbklwYXNMNTFjejdiNk53M2ZoZUQteGtjaDRxV3lmc1FJRnppNTRpanp1WkdlTVpOdzlLX210ZEVKNV80R3lXUENTWGMwUlN5dlVnSWc5ZENpTTVOVHE5MTYwS1BlMVRqWDdTaGtqM1BUVV8xMEQ4Q1dWTm9Nbk5POVo3TDgtYTExTS16cUNieU9aX3F0OVM1amZpQzU4Wkl4c0QtQ1E5dnpaYVFHYjlzZ1FrZ3F3Z24ySko1U1pycw?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
76,37dbf68fbe4a522edbf9fe36d008468c,"President Ferdinand “Bongbong” Marcos Jr. leads the distribution of government assistance to farmers, fisherfolk, and families from CALABARZON affected by El Niño in San Jose, Batangas on Thursday. Marcos gave P10,000 each to 30 beneficiaries from Bat","Wed, 10 Jul 2024",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi3AFBVV95cUxQLXZ0SHlzNUJ1SnpybWdZdlM5VmJhWGlCUTZ4RXRZQV9KcHdyXzNPaTJqOGxuNDJvdWRFR3AwbHZKWVd6SUFkaXV3T29jUGdIXzdHelMteV81bzZMbVd1eEhCc1VmVGFzQVZBR0J2UHFJM25ELUVUSjhNeG5MZ3o4aV9YUWNtRWZEWTNEVUdTc1Jva2xXQWFyU0dTZ0htTTdyUDJhYTFlLTNVTTNacWw2NXRBSHV6aGYtV1VWVU4xQ1F6Y3RJSlA3MDlGcEp2Mms2UUVhY05KR3F3Ylll?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
82,c2750f6017c7df9af6e04f73f01ecd8b,"PTV.. #RiseAndShinePilipinas | Del Rosario Bridge sa San Juan, Batangas, sarado sa mga motorista; San Juan, Batangas, isinailalim sa state of calamity","Tue, 01 No",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNRlNva1p1SllHSjZOcnh5WWM1VlR3bGl4eGx5VFVMbTMtWkZhRm16MjJDOVpLbG5SWWF5STRNMDkxUi02TWJWVDVOV2ktS2VyN1lybl9lalNHVnNPRlVfaGlwN3VUQ3MwRGFWZUVzNjhPVjg1Zjk5Q0hPTl9rMmloM0lrR3VzWW9mQTltb0xFQUJHZEJXblZmY1BhQWM2emFGTUlWVXkxQTkzMmNkRjdtdF8ybDVKcWNYWk9rZHRuODV6OXRSdnlwRWJZNHFtY292?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
85,1cda211b06f0582f5d5f99724d8b53d9,"A farm owner feeds his rabbits at the Papa Rabbit Farm in San Nicolas, Batangas on Friday. The Department of Agriculture (DA) has previously said that rabbit meat could be an alternative to pork if the African Swine Fever (ASF) continues to affect the local ho","Thu, 24 Ju",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi3AFBVV95cUxNNUk3Z1hoek9kNXJqUmliTEFCcWlfbUMwdVQ1SnJaM1drQW1WMUJ3N0FjNlp0RThiMDJQU3R5UUdBOTdyeDR6QlpRUW41T19pM0U5SEY2aFVXVm9PcGZWdHVQbi1vX29wUHF1ZmRONWZvVjBaVjZLa21YeDF5OU1USWwyR1RoV3ZHOE9ySlJWbllmUi0zMk0xVEZMQXRvY05JR19ubFRiSnJRYVFsVUJ2VFdvZFp6dk5MOEtCNjJRRW1LdGVaNDBmdHFsWDQ0TE00SjR5YWJmVEt5ZmV6?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
104,0a165368fabbe5291ca9631c22533573,"ABS-CBN News.. Natukoy na ng BFAR ang sanhi ng kauna-unahang naiulat na fish kill sa isla ng Tingloy sa Batangas. Sa kanilang pagsusuri, mataas ang lebel ng ammonia sa nakuhang sample ng tubig sa karagatan na maaaring dulot ng polusyon.","Mon, 14 Sep 2020",Batangas,facebook.com,https://news.google.com/rss/articles/CBMipwFBVV95cUxNY2pYdzlJU1hIeEMtU2FqQnM3LUFYMnNaS044eTRBUVlreHYwaGJzalhFOUVtSVZrNmQzdlVHb1RCNy0yd3Fhc3ZPYXVWdzlyX2pVUWd6TTNuOWpCeUpkeHl1V2lZYlNILTVWNzlWeE9NbWNCc2QzbDRNWFVoVUxTb1k1MlNnVFZ6Wk5vczNOWk4wSGplMEdmNTV1dTlsbkhEclVkWHZ3WQ?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
310,c94ceb332b8f3b9d625d8f2858e54717,"Damage to the agriculture sector due to the Taal volcano eruption climbs to P3.06 billion, affecting 15,790 hectares of farmlands and 1,923 animal heads. | via Maureen Simeon","Thu, 16 Jan 2020",Batangas,facebook.com,https://news.google.com/rss/articles/CBMi3AFBVV95cUxPVG4wNnZVYUw0bHR0YjFSNy0wQVJzTXZnSUxWZG9yNGNjWGJIWTR4NXlTZmd1TE04dWFCX2t3THlEV21tVUZjVjVnNGx2Nk11dVhRYWJKeEFmeW8xRVNmODFiei05dVJ4aDFfQ3RnRVpTWkpxOG15bTEwclNtVTRpcWhOa055eDFwbV9xWGhta3pFQUhYMGVIMWVUM2l4SllrNHhpTWc4VWxMUXU5MHJCczBWN2xFb3Eta2VSNVRZNll3RWI1Uk5sRmZWQmtOb0ZsRVR5Q0RwaHVTUENo?oc=5,stage1,"non_news_source (social media post, not a news publisher)"
