province_name,lgu_name,lgu_psgc,coverage
Batangas,Agoncillo,041001000,covered_relevant
Batangas,Alitagtag,041002000,mentioned_only
Batangas,Balayan,041003000,mentioned_only
Batangas,Balete,041004000,mentioned_only
Batangas,Batangas City,041005000,mentioned_only
Batangas,Bauan,041006000,covered_relevant
Batangas,Calaca,041007000,mentioned_only
Batangas,Calatagan,041008000,mentioned_only
Batangas,Cuenca,041009000,mentioned_only
Batangas,Ibaan,041010000,covered_relevant
Batangas,Laurel,041011000,mentioned_only
Batangas,Lemery,041012000,mentioned_only
Batangas,Lian,041013000,covered_relevant
Batangas,Lipa,041014000,mentioned_only
Batangas,Lobo,041015000,covered_relevant
Batangas,Mabini,041016000,mentioned_only
Batangas,Malvar,041017000,mentioned_only
Batangas,Mataasnakahoy,041018000,mentioned_only
Batangas,Nasugbu,041019000,mentioned_only
Batangas,Padre Garcia,041020000,mentioned_only
Batangas,Rosario,041021000,mentioned_only
Batangas,San Jose,041022000,mentioned_only
Batangas,San Juan,041023000,covered_relevant
Batangas,San Luis,041024000,mentioned_only
Batangas,San Nicolas,041025000,mentioned_only
Batangas,San Pascual,041026000,mentioned_only
Batangas,Santa Teresita,041027000,mentioned_only
Batangas,Sto. Tomas,041028000,mentioned_only
Batangas,Taal,041029000,covered_relevant
Batangas,Talisay,041030000,covered_relevant
Batangas,Tanauan,041031000,mentioned_only
Batangas,Taysan,041032000,mentioned_only
Batangas,Tingloy,041033000,mentioned_only
Batangas,Tuy,041034000,absent
Cavite,Alfonso,042101000,mentioned_only
Cavite,Amadeo,042102000,mentioned_only
Cavite,Bacoor,042103000,covered_relevant
Cavite,Carmona,042104000,mentioned_only
Cavite,Cavite City,042105000,mentioned_only
Cavite,Dasmariñas,042106000,mentioned_only
Cavite,Gen. Mariano Alvarez,042123000,mentioned_only
Cavite,General Emilio Aguinaldo,042107000,mentioned_only
Cavite,General Trias,042108000,mentioned_only
Cavite,Imus,042109000,covered_relevant
Cavite,Indang,042110000,mentioned_only
