province_code,province_name,lgu_psgc,lgu_name,lgu_aliases,lgu_type,population_2020,land_area_km2,pop_source
PH040500000,Batangas,041001000,Agoncillo,,municipality,39101,49.96,cph2020
PH040500000,Batangas,041002000,Alitagtag,,municipality,26819,24.76,cph2020
PH040500000,Batangas,041003000,Balayan,,municipality,95913,108.73,cph2020
PH040500000,Batangas,041004000,Balete,,municipality,24055,25.0,cph2020
PH040500000,Batangas,041005000,Batangas City,,city,351437,282.96,cph2020
PH040500000,Batangas,041006000,Bauan,,municipality,90819,53.31,cph2020
PH040500000,Batangas,041007000,Calaca,,city,87361,114.58,cph2020
PH040500000,Batangas,041008000,Calatagan,,municipality,58719,101.5,cph2020
PH040500000,Batangas,041009000,Cuenca,,municipality,36235,58.18,cph2020
PH040500000,Batangas,041010000,Ibaan,,municipality,58507,68.99,cph2020
PH040500000,Batangas,041011000,Laurel,,municipality,43210,71.29,cph2020
PH040500000,Batangas,041012000,Lemery,,municipality,93186,109.8,cph2020
PH040500000,Batangas,041013000,Lian,,municipality,56280,76.8,cph2020
PH040500000,Batangas,041014000,Lipa,,city,372931,209.4,cph2020
PH040500000,Batangas,041015000,Lobo,,municipality,40736,175.03,cph2020
PH040500000,Batangas,041016000,Mabini,,municipality,50858,44.47,cph2020
PH040500000,Batangas,041017000,Malvar,,municipality,64379,33.0,cph2020
PH040500000,Batangas,041018000,Mataasnakahoy,Mataas na Kahoy|Mataas Na Kahoy,municipality,30621,19.66,cph2020
PH040500000,Batangas,041019000,Nasugbu,,municipality,136524,278.51,cph2020
PH040500000,Batangas,041020000,Padre Garcia,Pdre. Garcia,municipality,51853,41.51,cph2020
PH040500000,Batangas,041021000,Rosario,,municipality,128352,226.88,cph2020
PH040500000,Batangas,041022000,San Jose,,municipality,79868,53.29,cph2020
PH040500000,Batangas,041023000,San Juan,,municipality,114068,273.4,cph2020
PH040500000,Batangas,041024000,San Luis,,municipality,36172,42.56,cph2020
PH040500000,Batangas,041025000,San Nicolas,,municipality,23908,22.61,cph2020
PH040500000,Batangas,041026000,San Pascual,,municipality,69009,50.7,cph2020
PH040500000,Batangas,041027000,Santa Teresita,Sta. Teresita|Sta Teresita,municipality,21559,16.3,cph2020
PH040500000,Batangas,041028000,Sto. Tomas,Santo Tomas|Sto Tomas,city,218500,95.41,cph2020
PH040500000,Batangas,041029000,Taal,,municipality,61460,29.76,cph2020
PH040500000,Batangas,041030000,Talisay,,municipality,46238,28.2,cph2020
PH040500000,Batangas,041031000,Tanauan,,city,193936,107.16,cph2020
PH040500000,Batangas,041032000,Taysan,,municipality,40146,93.62,cph2020
PH040500000,Batangas,041033000,Tingloy,,municipality,19215,33.07,cph2020
PH040500000,Batangas,041034000,Tuy,,municipality,46519,94.65,cph2020
PH040100000,Cavite,042101000,Alfonso,,municipality,59306,66.58,cph2020
PH040100000,Cavite,042102000,Amadeo,,municipality,41901,36.92,cph2020
PH040100000,Cavite,042103000,Bacoor,,city,664625,46.17,cph2020
PH040100000,Cavite,042104000,Carmona,,city,106256,29.75,cph2020
PH040100000,Cavite,042105000,Cavite City,,city,100674,10.89,cph2020
PH040100000,Cavite,042106000,Dasmariñas,Dasmarinas,city,703141,90.13,cph2020
PH040100000,Cavite,042123000,Gen. Mariano Alvarez,General Mariano Alvarez,municipality,172433,9.4,cph2020
PH040100000,Cavite,042107000,General Emilio Aguinaldo,Gen. Emilio Aguinaldo,municipality,23973,42.13,cph2020
PH040100000,Cavite,042108000,General Trias,Gen. Trias,city,450583,90.01,cph2020
PH040100000,Cavite,042109000,Imus,,city,496794,171.66,cph2020
PH040100000,Cavite,042110000,Indang,,municipality,68699,74.9,cph2020
PH040100000,Cavite,042111000,Kawit,,municipality,107535,25.15,cph2020
PH040100000,Cavite,042112000,Magallanes,,municipality,23851,73.07,cph2020
PH040100000,Cavite,042113000,Maragondon,,municipality,40687,164.61,cph2020
PH040100000,Cavite,042114000,Mendez,,municipality,34879,43.27,cph2020
PH040100000,Cavite,042115000,Naic,,municipality,160987,75.81,cph2020
PH040100000,Cavite,042116000,Noveleta,,municipality,49452,16.43,cph2020
PH040100000,Cavite,042117000,Rosario,,municipality,110807,7.61,cph2020
PH040100000,Cavite,042118000,Silang,,municipality,295644,209.43,cph2020
PH040100000,Cavite,042119000,Tagaytay,,city,85330,65.0,cph2020
PH040100000,Cavite,042120000,Tanza,,municipality,312116,78.33,cph2020
PH040100000,Cavite,042121000,Ternate,,municipality,24653,59.93,cph2020
PH040100000,Cavite,042122000,Trece Martires,,city,210503,39.1,cph2020
PH040200000,Laguna,043401000,Alaminos,,municipality,51619,57.46,cph2020
PH040200000,Laguna,043402000,Bay,,municipality,67182,42.66,cph2020
PH040200000,Laguna,043403000,Biñan,Binan,city,407437,40.27,cph2020
PH040200000,Laguna,043404000,Cabuyao,,city,355330,43.3,cph2020
PH040200000,Laguna,043405000,Calamba,,city,539671,149.5,cph2020
PH040200000,Laguna,043406000,Calauan,,municipality,87693,77.85,cph2020
