province_name,province_code,lon,lat
Batangas,PH040500000,120.749,13.9769
Batangas,PH040500000,120.749,14.1036
Batangas,PH040500000,120.9296,13.8503
Batangas,PH040500000,120.9296,13.9769
Batangas,PH040500000,121.1103,13.7236
Batangas,PH040500000,121.1103,13.8503
Cavite,PH040100000,120.7331,14.1675
Cavite,PH040100000,120.7331,14.2784
Cavite,PH040100000,120.8479,14.1675
Cavite,PH040100000,120.8479,14.2784
Cavite,PH040100000,120.8479,14.3893
Cavite,PH040100000,120.9627,14.1675
Laguna,PH040200000,121.1312,14.2164
Laguna,PH040200000,121.257,14.0899
Laguna,PH040200000,121.3829,14.0899
Laguna,PH040200000,121.3829,14.2164
Laguna,PH040200000,121.3829,14.3429
Laguna,PH040200000,121.3829,14.4693
Quezon,PH040300000,121.4592,14.0426
Quezon,PH040300000,121.4592,14.6298
Quezon,PH040300000,121.4592,14.9233
Quezon,PH040300000,121.6814,14.0426
Quezon,PH040300000,121.6814,14.3362
Quezon,PH040300000,122.3481,13.7491
Rizal,PH040400000,121.1847,14.5605
Rizal,PH040400000,121.1847,14.6977
Rizal,PH040400000,121.2735,14.5605
Rizal,PH040400000,121.2735,14.6977
Rizal,PH040400000,121.3623,14.4234
Rizal,PH040400000,121.3623,14.5605
