province_name,lgu_name,population_2020,land_area_km2
Batangas,Agoncillo,39101,49.96
Batangas,Alitagtag,26819,24.76
Batangas,Balayan,95913,108.73
Batangas,Balete,24055,25.00
Batangas,Batangas City,351437,282.96
Batangas,Bauan,90819,53.31
Batangas,Calaca,87361,114.58
Batangas,Calatagan,58719,101.50
Batangas,Cuenca,36235,58.18
Batangas,Ibaan,58507,68.99
Batangas,Laurel,43210,71.29
Batangas,Lemery,93186,109.80
Batangas,Lian,56280,76.80
Batangas,Lipa,372931,209.40
Batangas,Lobo,40736,175.03
Batangas,Mabini,50858,44.47
Batangas,Malvar,64379,33.00
Batangas,Mataasnakahoy,30621,19.66
Batangas,Nasugbu,136524,278.51
Batangas,Padre Garcia,51853,41.51
Batangas,Rosario,128352,226.88
Batangas,San Jose,79868,53.29
Batangas,San Juan,114068,273.40
Batangas,San Luis,36172,42.56
Batangas,San Nicolas,23908,22.61
Batangas,San Pascual,69009,50.70
Batangas,Santa Teresita,21559,16.30
Batangas,Santo Tomas,218500,95.41
Batangas,Taal,61460,29.76
Batangas,Talisay,46238,28.20
Batangas,Tanauan,193936,107.16
Batangas,Taysan,40146,93.62
Batangas,Tingloy,19215,33.07
Batangas,Tuy,46519,94.65
Cavite,Alfonso,59306,66.58
Cavite,Amadeo,41901,36.92
Cavite,Bacoor,664625,46.17
Cavite,Carmona,106256,29.75
Cavite,Cavite City,100674,10.89
Cavite,Dasmariñas,703141,90.13
Cavite,General Emilio Aguinaldo,23973,42.13
Cavite,General Mariano Alvarez,172433,9.40
Cavite,General Trias,450583,90.01
Cavite,Imus,496794,171.66
Cavite,Indang,68699,74.90
Cavite,Kawit,107535,25.15
Cavite,Magallanes,23851,73.07
Cavite,Maragondon,40687,164.61
Cavite,Mendez,34879,43.27
Cavite,Naic,160987,75.81
Cavite,Noveleta,49452,16.43
Cavite,Rosario,110807,7.61
Cavite,Silang,295644,209.43
Cavite,Tagaytay,85330,65.00
Cavite,Tanza,312116,78.33
Cavite,Ternate,24653,59.93
Cavite,Trece Martires,210503,39.10
Laguna,Alaminos,51619,57.46
Laguna,Bay,67182,42.66
Laguna,Biñan,407437,40.27
Laguna,Cabuyao,355330,43.30
Laguna,Calamba,539671,149.50
Laguna,Calauan,87693,77.85
Laguna,Cavinti,23980,203.58
Laguna,Famy,16791,53.06
Laguna,Kalayaan,24755,46.60
Laguna,Liliw,39491,39.10
Laguna,Los Baños,115353,54.22
Laguna,Luisiana,20859,73.31
Laguna,Lumban,32330,40.53
Laguna,Mabitac,21275,80.76
Laguna,Magdalena,27816,35.00
Laguna,Majayjay,27893,69.58
Laguna,Nagcarlan,64866,78.10
Laguna,Paete,24945,55.02
Laguna,Pagsanjan,44327,27.40
Laguna,Pakil,23495,46.50
Laguna,Pangil,25026,45.03
Laguna,Pila,54613,31.20
Laguna,Rizal,18332,27.90
Laguna,San Pablo,285348,197.56
Laguna,San Pedro,326001,24.05
Laguna,Santa Cruz,123574,38.59
Laguna,Santa Maria,34511,108.40
Laguna,Santa Rosa,414812,54.84
Laguna,Siniloan,39460,64.51
Laguna,Victoria,43408,22.35
Quezon,Agdangan,12764,31.54
Quezon,Alabat,15936,57.61
Quezon,Atimonan,64260,239.66
Quezon,Buenavista,31160,161.35
Quezon,Burdeos,24644,199.82
Quezon,Calauag,71809,324.71
Quezon,Candelaria,137881,129.10
Quezon,Catanauan,72752,253.07
Quezon,Dolores,32514,62.60
Quezon,General Luna,24804,101.02
Quezon,General Nakar,34225,1343.75
Quezon,Guinayangan,44045,214.12
Quezon,Gumaca,71942,189.65
Quezon,Infanta,76186,342.76
Quezon,Jomalig,7667,53.93
Quezon,Lopez,94657,355.38
Quezon,Lucban,53091,130.46
Quezon,Lucena,278924,71.55
Quezon,Macalelon,27312,124.05
Quezon,Mauban,71081,415.98
Quezon,Mulanay,55576,420.00
Quezon,Padre Burgos,23488,69.10
Quezon,Pagbilao,78700,170.96
Quezon,Panukulan,16376,226.61
Quezon,Patnanungan,15052,139.20
Quezon,Perez,12767,57.46
Quezon,Pitogo,22798,73.39
Quezon,Plaridel,10129,18.19
Quezon,Polillo,31908,253.00
Quezon,Quezon,15886,71.22
Quezon,Real,38678,337.92
Quezon,Sampaloc,13629,104.78
Quezon,San Andres,37454,172.93
Quezon,San Antonio,35891,60.99
Quezon,San Francisco,62097,303.96
Quezon,San Narciso,51058,263.58
Quezon,Sariaya,161868,212.16
Quezon,Tagkawayan,54003,534.35
Quezon,Tayabas,112658,230.95
Quezon,Tiaong,106265,168.38
Quezon,Unisan,25448,124.15
Rizal,Angono,130494,26.22
Rizal,Antipolo,887399,306.10
Rizal,Baras,87637,84.93
Rizal,Binangonan,313631,66.34
Rizal,Cainta,376933,42.99
Rizal,Cardona,50143,19.27
Rizal,Jala-Jala,34017,44.12
Rizal,Morong,71151,37.58
Rizal,Pililla,71535,69.95
Rizal,Rodriguez,443954,172.65
Rizal,San Mateo,273306,55.09
Rizal,Tanay,139420,200.00
Rizal,Taytay,386451,38.80
Rizal,Teresa,64072,18.61
